date,igrea
2000Q1,-4.2018806
2000Q2,6.0516166333333326
2000Q3,7.8962538
2000Q4,9.574773333333333
2001Q1,-1.6359999333333335
2001Q2,-8.253253666666668
2001Q3,-39.455190333333334
2001Q4,-56.039756000000004
2002Q1,-44.05036633333333
2002Q2,-39.298380333333334
2002Q3,-37.482742333333334
2002Q4,-2.8067722666666666
2003Q1,11.922348966666666
2003Q2,33.53957466666666
2003Q3,40.86455266666667
2003Q4,103.92698133333333
2004Q1,123.05274000000001
2004Q2,84.83051999999999
2004Q3,95.72899
2004Q4,118.91373333333333
2005Q1,107.85455
2005Q2,83.12385566666667
2005Q3,42.073844666666666
2005Q4,60.19268133333333
2006Q1,43.122396333333334
2006Q2,47.056735
2006Q3,80.654721
2006Q4,97.46759566666667
2007Q1,107.58048333333333
2007Q2,131.92457333333334
2007Q3,153.30993666666666
2007Q4,185.34785666666667
2008Q1,151.35218333333333
2008Q2,178.56939333333332
2008Q3,143.25002666666668
2008Q4,-43.95477399999999
2009Q1,-6.992703999999999
2009Q2,46.66962403333334
2009Q3,55.50303433333334
2009Q4,75.21403033333333
2010Q1,63.851592333333336
2010Q2,73.78331566666667
2010Q3,39.018791
2010Q4,38.885346
2011Q1,-16.23484266666667
2011Q2,-15.117149333333332
2011Q3,-5.5338183333333335
2011Q4,18.275503333333333
2012Q1,-62.70415833333333
2012Q2,-45.12851633333333
2012Q3,-65.65069166666666
2012Q4,-52.98328966666666
2013Q1,-69.783687
2013Q2,-58.15838
2013Q3,-22.309455833333335
2013Q4,15.680644899999999
2014Q1,-15.861308800000002
2014Q2,-48.203417
2014Q3,-51.992526
2014Q4,-35.702778
2015Q1,-93.836696
2015Q2,-90.97619566666667
2015Q3,-46.85943366666667
2015Q4,-91.31093833333334
2016Q1,-146.17508999999998
2016Q2,-92.57668133333334
2016Q3,-74.39214299999999
2016Q4,-44.256811666666664
2017Q1,-51.69052466666667
2017Q2,-42.53855866666667
2017Q3,-31.798039
2017Q4,-1.8634133000000002
2018Q1,-27.978253666666664
2018Q2,-21.268553333333333
2018Q3,3.0624428999999993
2018Q4,-13.747041099999999
2019Q1,-69.769878
2019Q2,-45.782951
2019Q3,27.220045666666667
2019Q4,-1.2538232666666669
2020Q1,-98.23279466666668
2020Q2,-75.07687733333334
2020Q3,-1.0646315333333334
2020Q4,-13.872456433333333
2021Q1,10.291874466666668
2021Q2,57.50987633333333
2021Q3,85.10140366666667
2021Q4,73.69355733333333
2022Q1,19.970544399999998
2022Q2,40.58685666666667
2022Q3,-2.7290579999999998
2022Q4,-11.3309072
2023Q1,-58.429000333333335
2023Q2,-25.674610666666666
2023Q3,-36.296768666666665
2023Q4,18.509197733333334
2024Q1,13.7710966
2024Q2,7.2809465866666665
2024Q3,8.423020293333334
2024Q4,-19.6297745
