,ca_pct_gdp,fiscal_balance_pct_gdp,fiscal_proxy
2000Q1,-3.4,-2.0,-1.0512372367278842
2000Q2,-3.4,-2.0,-1.0512372367278842
2000Q3,-3.4,-2.0,-1.0512372367278842
2000Q4,-3.4,-2.0,-1.0512372367278842
2001Q1,1.9,-3.8,-0.06775125642113121
2001Q2,1.9,-3.8,-0.06775125642113121
2001Q3,1.9,-3.8,-0.06775125642113121
2001Q4,1.9,-3.8,-0.06775125642113121
2002Q1,3.2,-4.4,0.2600774036811201
2002Q2,3.2,-4.4,0.2600774036811201
2002Q3,3.2,-4.4,0.2600774036811201
2002Q4,3.2,-4.4,0.2600774036811201
2003Q1,2.8,-3.7,-0.12238936643817284
2003Q2,2.8,-3.7,-0.12238936643817284
2003Q3,2.8,-3.7,-0.12238936643817284
2003Q4,2.8,-3.7,-0.12238936643817284
2004Q1,1.5,-3.3,-0.3409418065063404
2004Q2,1.5,-3.3,-0.3409418065063404
2004Q3,1.5,-3.3,-0.3409418065063404
2004Q4,1.5,-3.3,-0.3409418065063404
2005Q1,1.6,-5.5,0.86109661386858
2005Q2,1.6,-5.5,0.86109661386858
2005Q3,1.6,-5.5,0.86109661386858
2005Q4,1.6,-5.5,0.86109661386858
2006Q1,1.9,-1.8,-1.1605134567619677
2006Q2,1.9,-1.8,-1.1605134567619677
2006Q3,1.9,-1.8,-1.1605134567619677
2006Q4,1.9,-1.8,-1.1605134567619677
2007Q1,-0.1,-0.1,-2.089361327051679
2007Q2,-0.1,-0.1,-2.089361327051679
2007Q3,-0.1,-0.1,-2.089361327051679
2007Q4,-0.1,-0.1,-2.089361327051679
2008Q1,-4.6,0.6,-2.4718280971709716
2008Q2,-4.6,0.6,-2.4718280971709716
2008Q3,-4.6,0.6,-2.4718280971709716
2008Q4,-4.6,0.6,-2.4718280971709716
2009Q1,-4.9,-1.6,-1.2697896767960513
2009Q2,-4.9,-1.6,-1.2697896767960513
2009Q3,-4.9,-1.6,-1.2697896767960513
2009Q4,-4.9,-1.6,-1.2697896767960513
2010Q1,-4.0,-3.9,-0.013113146404089324
2010Q2,-4.0,-3.9,-0.013113146404089324
2010Q3,-4.0,-3.9,-0.013113146404089324
2010Q4,-4.0,-3.9,-0.013113146404089324
2011Q1,-7.3,-6.1,1.1889252739708307
2011Q2,-7.3,-6.1,1.1889252739708307
2011Q3,-7.3,-6.1,1.1889252739708307
2011Q4,-7.3,-6.1,1.1889252739708307
2012Q1,-8.8,-6.6,1.46211582405604
2012Q2,-8.8,-6.6,1.46211582405604
2012Q3,-8.8,-6.6,1.46211582405604
2012Q4,-8.8,-6.6,1.46211582405604
2013Q1,-6.8,-4.7,0.42399173373224547
2013Q2,-6.8,-4.7,0.42399173373224547
2013Q3,-6.8,-4.7,0.42399173373224547
2013Q4,-6.8,-4.7,0.42399173373224547
2014Q1,-5.5,-4.8,0.47862984374928713
2014Q2,-5.5,-4.8,0.47862984374928713
2014Q3,-5.5,-4.8,0.47862984374928713
2014Q4,-5.5,-4.8,0.47862984374928713
2015Q1,-2.0,-4.6,0.36935362371520336
2015Q2,-2.0,-4.6,0.36935362371520336
2015Q3,-2.0,-4.6,0.36935362371520336
2015Q4,-2.0,-4.6,0.36935362371520336
2016Q1,-3.8,-4.5,0.3147155136981617
2016Q2,-3.8,-4.5,0.3147155136981617
2016Q3,-3.8,-4.5,0.3147155136981617
2016Q4,-3.8,-4.5,0.3147155136981617
2017Q1,-3.2,-3.3,-0.3409418065063404
2017Q2,-3.2,-3.3,-0.3409418065063404
2017Q3,-3.2,-3.3,-0.3409418065063404
2017Q4,-3.2,-3.3,-0.3409418065063404
2018Q1,-4.9,-3.5,-0.2316655864722566
2018Q2,-4.9,-3.5,-0.2316655864722566
2018Q3,-4.9,-3.5,-0.2316655864722566
2018Q4,-4.9,-3.5,-0.2316655864722566
2019Q1,-3.4,-3.8,-0.06775125642113121
2019Q2,-3.4,-3.8,-0.06775125642113121
2019Q3,-3.4,-3.8,-0.06775125642113121
2019Q4,-3.4,-3.8,-0.06775125642113121
2020Q1,-1.2,-7.1,1.735306374141249
2020Q2,-1.2,-7.1,1.735306374141249
2020Q3,-1.2,-7.1,1.735306374141249
2020Q4,-1.2,-7.1,1.735306374141249
2021Q1,-2.3,-5.9,1.0796490539367476
2021Q2,-2.3,-5.9,1.0796490539367476
2021Q3,-2.3,-5.9,1.0796490539367476
2021Q4,-2.3,-5.9,1.0796490539367476
2022Q1,-3.5,-5.4,0.8064585038515384
2022Q2,-3.5,-5.4,0.8064585038515384
2022Q3,-3.5,-5.4,0.8064585038515384
2022Q4,-3.5,-5.4,0.8064585038515384
2023Q1,-1.0,-4.4,0.2600774036811201
2023Q2,-1.0,-4.4,0.2600774036811201
2023Q3,-1.0,-4.4,0.2600774036811201
2023Q4,-1.0,-4.4,0.2600774036811201
2024Q1,-1.2,-3.9,-0.013113146404089324
2024Q2,-1.2,-3.9,-0.013113146404089324
2024Q3,-1.2,-3.9,-0.013113146404089324
2024Q4,-1.2,-3.9,-0.013113146404089324
